,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2020-02-01,18872.89238654137,-97919.34353181103,156802.4239832823,18872.89238654137,18872.89238654137,16296.429360881688,16296.429360881688,16296.429360881688,16296.429360881688,16296.429360881688,16296.429360881688,0.0,0.0,0.0,35169.32174742306
11,2020-02-02,21598.67853965745,-103738.7175503564,162716.40067742448,21598.67853965745,21598.67853965745,2080.222820984377,2080.222820984377,2080.222820984377,2080.222820984377,2080.222820984377,2080.222820984377,0.0,0.0,0.0,23678.901360641827
12,2020-02-03,24324.46469277352,-98590.771291218,136109.2635361899,24324.464692773516,24324.46469277352,-10999.425019485434,-10999.425019485434,-10999.425019485434,-10999.425019485434,-10999.425019485434,-10999.425019485434,0.0,0.0,0.0,13325.039673288085
13,2020-02-04,27050.250845889597,-113907.3876428185,160698.8801298815,27050.250845889597,27050.250845889597,-14657.398555100212,-14657.398555100212,-14657.398555100212,-14657.398555100212,-14657.398555100212,-14657.398555100212,0.0,0.0,0.0,12392.852290789386
14,2020-02-05,29776.036999005675,-106039.36179901482,147850.727106971,29776.03699900567,29776.036999005675,-7006.208342767619,-7006.208342767619,-7006.208342767619,-7006.208342767619,-7006.208342767619,-7006.208342767619,0.0,0.0,0.0,22769.828656238056
15,2020-02-06,32501.823152121753,-95207.44135735638,152723.85368612193,32501.823152121753,32501.823152121753,148.08121885756125,148.08121885756125,148.08121885756125,148.08121885756125,148.08121885756125,148.08121885756125,0.0,0.0,0.0,32649.904370979315
16,2020-02-07,35227.609305237835,-84506.4131413374,175266.2587740818,35227.609305237835,35227.609305237835,14138.298516629286,14138.298516629286,14138.298516629286,14138.298516629286,14138.298516629286,14138.298516629286,0.0,0.0,0.0,49365.90782186712
17,2020-02-08,37953.38537889239,-85117.11837984002,185944.91107524303,37953.38537889239,37953.38537889239,16296.429360887025,16296.429360887025,16296.429360887025,16296.429360887025,16296.429360887025,16296.429360887025,0.0,0.0,0.0,54249.81473977941
18,2020-02-09,40679.16145254695,-89640.42378823303,162294.39364921898,40679.16145254695,40679.16145254695,2080.222820969498,2080.222820969498,2080.222820969498,2080.222820969498,2080.222820969498,2080.222820969498,0.0,0.0,0.0,42759.38427351644
19,2020-02-10,43404.9375262015,-85895.16084626612,137189.94456696406,43404.9375262015,43404.9375262015,-10999.42501949586,-10999.42501949586,-10999.42501949586,-10999.42501949586,-10999.42501949586,-10999.42501949586,0.0,0.0,0.0,32405.512506705643
20,2020-02-11,46130.713599856055,-117865.48797512936,151450.09494261816,46130.713599856055,46130.713599856055,-14657.398555111928,-14657.398555111928,-14657.398555111928,-14657.398555111928,-14657.398555111928,-14657.398555111928,0.0,0.0,0.0,31473.31504474413
21,2020-02-12,48856.48967351061,-89820.62360946884,164543.8926305701,48856.4896735106,48856.48967351061,-7006.208342761496,-7006.208342761496,-7006.208342761496,-7006.208342761496,-7006.208342761496,-7006.208342761496,0.0,0.0,0.0,41850.281330749116
22,2020-02-13,51582.26574716517,-88961.52858975733,207473.01044644165,51582.26574716516,51582.26574716517,148.08121886264712,148.08121886264712,148.08121886264712,148.08121886264712,148.08121886264712,148.08121886264712,0.0,0.0,0.0,51730.34696602781
23,2020-02-14,54308.04182081972,-57858.21834172076,203323.69503058406,54308.04182081972,54308.04182081972,14138.298516635374,14138.298516635374,14138.298516635374,14138.298516635374,14138.298516635374,14138.298516635374,0.0,0.0,0.0,68446.3403374551
24,2020-02-15,56789.086804929444,-81896.13124685088,210203.37506650196,56789.08680492944,56789.086804929444,16296.42936087583,16296.42936087583,16296.42936087583,16296.42936087583,16296.42936087583,16296.42936087583,0.0,0.0,0.0,73085.51616580528
25,2020-02-16,59270.13178903916,-61579.44495322579,213045.7328112651,59270.13178903915,59270.13178903916,2080.2228209623026,2080.2228209623026,2080.2228209623026,2080.2228209623026,2080.2228209623026,2080.2228209623026,0.0,0.0,0.0,61350.354610001465
26,2020-02-17,61751.17677314889,-84158.37003648249,222927.51118474675,61751.17677314888,61751.17677314889,-10999.425019495131,-10999.425019495131,-10999.425019495131,-10999.425019495131,-10999.425019495131,-10999.425019495131,0.0,0.0,0.0,50751.751753653756
27,2020-02-18,64232.2217572586,-66503.22359187885,195650.50373170065,64232.221757258594,64232.2217572586,-14657.39855510762,-14657.39855510762,-14657.39855510762,-14657.39855510762,-14657.39855510762,-14657.39855510762,0.0,0.0,0.0,49574.82320215098
28,2020-02-19,66713.26674136832,-89928.80999688656,169945.91831153346,66713.26674136831,66713.26674136832,-7006.2083427579955,-7006.2083427579955,-7006.2083427579955,-7006.2083427579955,-7006.2083427579955,-7006.2083427579955,0.0,0.0,0.0,59707.05839861033
29,2020-02-20,69194.31172547804,-74876.48346613857,184934.49452964467,69194.31172547804,69194.31172547804,148.08121887246182,148.08121887246182,148.08121887246182,148.08121887246182,148.08121887246182,148.08121887246182,0.0,0.0,0.0,69342.3929443505
30,2020-02-21,71675.35670958777,-53996.784763521115,213424.84981557302,71675.35670958777,71675.35670958777,14138.29851664146,14138.29851664146,14138.29851664146,14138.29851664146,14138.29851664146,14138.29851664146,0.0,0.0,0.0,85813.65522622922
31,2020-02-22,74156.40169369748,-27446.904012693463,218519.4281738485,74156.40169369747,74156.40169369748,16296.429360899394,16296.429360899394,16296.429360899394,16296.429360899394,16296.429360899394,16296.429360899394,0.0,0.0,0.0,90452.83105459687
32,2020-02-23,76637.42662697328,-70785.47500983858,197559.17196888634,76637.42662697326,76637.42662697328,2080.222820939743,2080.222820939743,2080.222820939743,2080.222820939743,2080.222820939743,2080.222820939743,0.0,0.0,0.0,78717.64944791302
33,2020-02-24,79118.45156024907,-56150.3893996967,215174.99425105756,79118.45156024906,79118.45156024907,-10999.425019505556,-10999.425019505556,-10999.425019505556,-10999.425019505556,-10999.425019505556,-10999.425019505556,0.0,0.0,0.0,68119.02654074352
34,2020-02-25,81599.47649352485,-68879.61949025549,205086.55281955027,81599.47649352485,81599.47649352485,-14657.398555108048,-14657.398555108048,-14657.398555108048,-14657.398555108048,-14657.398555108048,-14657.398555108048,0.0,0.0,0.0,66942.0779384168
35,2020-02-26,84080.50142680062,-57825.85905005282,209199.14702048374,84080.50142680062,84080.50142680062,-7006.208342751873,-7006.208342751873,-7006.208342751873,-7006.208342751873,-7006.208342751873,-7006.208342751873,0.0,0.0,0.0,77074.29308404875
