,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,2020-02-05,2314.0213899662626,-25583.888511748075,25417.954010829544,2314.021389966262,2314.0213899662626,-1162.1348354324625,-1162.1348354324625,-1162.1348354324625,-1162.1348354324625,-1162.1348354324625,-1162.1348354324625,0.0,0.0,0.0,1151.8865545338
15,2020-02-06,2682.1634867453854,-23490.266000579657,33076.485551658465,2682.1634867453854,2682.1634867453854,1119.73214236005,1119.73214236005,1119.73214236005,1119.73214236005,1119.73214236005,1119.73214236005,0.0,0.0,0.0,3801.8956291054355
16,2020-02-07,3050.305583524508,-18672.928880775326,31907.668564643165,3050.3055835245077,3050.305583524508,2144.4135739067187,2144.4135739067187,2144.4135739067187,2144.4135739067187,2144.4135739067187,2144.4135739067187,0.0,0.0,0.0,5194.719157431227
17,2020-02-08,3475.4662026518326,-19087.99948004263,32748.89733553355,3475.4662026518326,3475.4662026518326,2142.3483053020836,2142.3483053020836,2142.3483053020836,2142.3483053020836,2142.3483053020836,2142.3483053020836,0.0,0.0,0.0,5617.814507953916
18,2020-02-09,3900.6268217791567,-26118.79690118796,29491.221723926687,3900.6268217791567,3900.6268217791567,1285.1326329922606,1285.1326329922606,1285.1326329922606,1285.1326329922606,1285.1326329922606,1285.1326329922606,0.0,0.0,0.0,5185.759454771417
19,2020-02-10,4325.787440906481,-22471.1766644488,28847.632087151538,4325.787440906481,4325.787440906481,-2834.6943742780363,-2834.6943742780363,-2834.6943742780363,-2834.6943742780363,-2834.6943742780363,-2834.6943742780363,0.0,0.0,0.0,1491.0930666284444
20,2020-02-11,5025.224055491167,-22644.67218923934,25638.164629216903,5025.224055491167,5025.224055491167,-2694.797444858551,-2694.797444858551,-2694.797444858551,-2694.797444858551,-2694.797444858551,-2694.797444858551,0.0,0.0,0.0,2330.426610632616
21,2020-02-12,5724.660670075853,-18746.964611384457,29423.7089078412,5724.660670075853,5724.660670075853,-1162.134835432829,-1162.134835432829,-1162.134835432829,-1162.134835432829,-1162.134835432829,-1162.134835432829,0.0,0.0,0.0,4562.525834643024
22,2020-02-13,6424.097284660541,-20011.417819305912,35265.004279643865,6424.09728466054,6424.097284660541,1119.7321423636545,1119.7321423636545,1119.7321423636545,1119.7321423636545,1119.7321423636545,1119.7321423636545,0.0,0.0,0.0,7543.829427024195
23,2020-02-14,7123.533899245226,-21726.34108563544,34438.77503891682,7123.533899245225,7123.533899245226,2144.4135739080853,2144.4135739080853,2144.4135739080853,2144.4135739080853,2144.4135739080853,2144.4135739080853,0.0,0.0,0.0,9267.947473153312
24,2020-02-15,8582.816470801376,-13254.501847369345,40297.202069994775,8582.816470801376,8582.816470801376,2142.348305303855,2142.348305303855,2142.348305303855,2142.348305303855,2142.348305303855,2142.348305303855,0.0,0.0,0.0,10725.16477610523
25,2020-02-16,10042.099042357531,-16678.72583492987,41329.75163321709,10042.099042357531,10042.099042357531,1285.132632989119,1285.132632989119,1285.132632989119,1285.132632989119,1285.132632989119,1285.132632989119,0.0,0.0,0.0,11327.231675346651
26,2020-02-17,11501.381613913687,-19077.143716306786,37262.48528386406,11501.381613913687,11501.381613913687,-2834.694374279574,-2834.694374279574,-2834.694374279574,-2834.694374279574,-2834.694374279574,-2834.694374279574,0.0,0.0,0.0,8666.687239634113
27,2020-02-18,13148.297653296217,-17835.091686749573,34091.7937388634,13148.297653296217,13148.297653296217,-2694.797444856316,-2694.797444856316,-2694.797444856316,-2694.797444856316,-2694.797444856316,-2694.797444856316,0.0,0.0,0.0,10453.5002084399
28,2020-02-19,14795.213692678753,-15566.59715253126,42331.75697209005,14795.213692678753,14795.213692678753,-1162.1348354273666,-1162.1348354273666,-1162.1348354273666,-1162.1348354273666,-1162.1348354273666,-1162.1348354273666,0.0,0.0,0.0,13633.078857251387
29,2020-02-20,16442.129732061276,-6991.974312103417,41472.94062516972,16442.129732061272,16442.129732061276,1119.7321423637886,1119.7321423637886,1119.7321423637886,1119.7321423637886,1119.7321423637886,1119.7321423637886,0.0,0.0,0.0,17561.861874425063
30,2020-02-21,18655.598205407376,-4803.999977279629,49077.129604290734,18655.598205407376,18655.598205407376,2144.413573909452,2144.413573909452,2144.413573909452,2144.413573909452,2144.413573909452,2144.413573909452,0.0,0.0,0.0,20800.01177931683
31,2020-02-22,20869.06667875347,-2035.1757261927773,51955.121286227324,20869.06667875347,20869.06667875347,2142.3483053041587,2142.3483053041587,2142.3483053041587,2142.3483053041587,2142.3483053041587,2142.3483053041587,0.0,0.0,0.0,23011.41498405763
32,2020-02-23,23082.535152099586,-494.5569601421436,49688.84198958575,23082.535152099583,23082.535152099586,1285.1326329884746,1285.1326329884746,1285.1326329884746,1285.1326329884746,1285.1326329884746,1285.1326329884746,0.0,0.0,0.0,24367.667785088062
33,2020-02-24,25504.548315900338,-1755.240108409154,50657.05466520721,25504.548315900334,25504.548315900338,-2834.694374281702,-2834.694374281702,-2834.694374281702,-2834.694374281702,-2834.694374281702,-2834.694374281702,0.0,0.0,0.0,22669.853941618636
34,2020-02-25,27926.561479701057,-1926.0289974470352,55299.46370104806,27926.561479701057,27926.561479701057,-2694.797444857644,-2694.797444857644,-2694.797444857644,-2694.797444857644,-2694.797444857644,-2694.797444857644,0.0,0.0,0.0,25231.764034843414
35,2020-02-26,30348.57464350179,2523.481202178921,53269.00946594162,30348.574643501786,30348.57464350179,-1162.1348354277332,-1162.1348354277332,-1162.1348354277332,-1162.1348354277332,-1162.1348354277332,-1162.1348354277332,0.0,0.0,0.0,29186.439808074058
36,2020-02-27,32770.58780730254,5053.800266726481,57985.35644807933,32770.58780730254,32770.58780730254,1119.7321423623036,1119.7321423623036,1119.7321423623036,1119.7321423623036,1119.7321423623036,1119.7321423623036,0.0,0.0,0.0,33890.319949664845
37,2020-02-28,35192.96852891054,10881.21631638664,62919.51669845362,35192.96852891054,35192.96852891054,2144.4135739108187,2144.4135739108187,2144.4135739108187,2144.4135739108187,2144.4135739108187,2144.4135739108187,0.0,0.0,0.0,37337.38210282136
38,2020-02-29,37615.34925051856,13916.47444091364,66493.0966044779,37615.34925051856,37615.34925051856,2142.348305305929,2142.348305305929,2142.348305305929,2142.348305305929,2142.348305305929,2142.348305305929,0.0,0.0,0.0,39757.69755582449
39,2020-03-01,40037.72997212655,12520.570002977687,70253.38584106411,40037.729972126544,40037.72997212655,1285.132632997324,1285.132632997324,1285.132632997324,1285.132632997324,1285.132632997324,1285.132632997324,0.0,0.0,0.0,41322.862605123875
40,2020-03-02,42460.11957845224,12204.104757620971,67169.61433449882,42460.11957845224,42460.11957845224,-2834.6943742835356,-2834.6943742835356,-2834.6943742835356,-2834.6943742835356,-2834.6943742835356,-2834.6943742835356,0.0,0.0,0.0,39625.42520416871
41,2020-03-03,44882.509184777926,15142.371387724641,66120.22582305694,44882.509184777926,44882.509184777926,-2694.79744485541,-2694.79744485541,-2694.79744485541,-2694.79744485541,-2694.79744485541,-2694.79744485541,0.0,0.0,0.0,42187.71173992252
42,2020-03-04,47304.898791103595,16738.000348511163,73773.61648613251,47304.898791103595,47304.898791103595,-1162.1348354355641,-1162.1348354355641,-1162.1348354355641,-1162.1348354355641,-1162.1348354355641,-1162.1348354355641,0.0,0.0,0.0,46142.76395566803
43,2020-03-05,49727.288189150015,24083.428264103408,80652.87147510625,49727.288189150015,49727.288189150015,1119.7321423589674,1119.7321423589674,1119.7321423589674,1119.7321423589674,1119.7321423589674,1119.7321423589674,0.0,0.0,0.0,50847.02033150898
44,2020-03-06,52149.67758719643,27030.785660747573,80744.75464018557,52149.67758719642,52149.67758719643,2144.413573908846,2144.413573908846,2144.413573908846,2144.413573908846,2144.413573908846,2144.413573908846,0.0,0.0,0.0,54294.09116110527
45,2020-03-07,54572.066985242825,31971.708515480594,83031.94925650481,54572.066985242825,54572.066985242825,2142.3483053026075,2142.3483053026075,2142.3483053026075,2142.3483053026075,2142.3483053026075,2142.3483053026075,0.0,0.0,0.0,56714.41529054543
